N0;Name;Chronology;Type;utmx;utmy;ALTA;ALTm;TPI100;TPI100m;TPI500;TPI500m;TPI1000;TPI1000m;ALTrA;ALTrB;SLO;SLOm;SLOga;SLOt;SLOst;SLOpi;INCr45-15;ASP;ASPm;HYDROE;HYDROEm;HYDROC;HYDROCm;HYDROV;WET;WETm;WETv;GEOLE;GEOLEm;GEOLC;GEOLCm;GEOLV;CPFPCGs;CPFPCDs;CPFPCGc;CPFPCDc;VISC;VISZ;VISPR;VISPRm;LCPC;LCPCm;TOTINS;TOTINSm;DIRINS;DIRINSm;DIFINS;DIFINSm;WIND;WINDm
31;145.1;Upper Palaeolithic/ Epipalaeolithic;Shelter;582163,3394;4760942,616;710;709;-1,09;-1,78;-0,82;-1,95;-0,82;-1,95;0,960757781;1,024531025;4,86682;5,66057;7,00152207;10,08902077;0,531001093;2,588555858;10,78470785;220,236;188,926;1391,49;1391,43;76,1307161;76,21650338;0;11,5785;10,81516667;0,205279285;8653,36;8644;430,1873998;430,8443115;0;0;2316,12942;182,3355948;0;2746,356016;294,770628;1;1;0;0,609410793;4,6004;4,7195;3,6817;3,80181;0,9187;0,917726;1,058;1,03891
32;147.1;Upper Palaeolithic/ Epipalaeolithic;Open-air;581905,0233;4760495,762;720;720;0,04;-1,38;-0,59;-1,53;-0,59;-1,53;0,975609756;1,044992743;3,61888;4,28259;6,824512535;10,46025105;0,307654443;4,632152589;9,191016499;18,4349;110,842;975;974,812;52,02679075;52,0197314;0;17,68533333;17,54516667;0,118415756;8898,1;8896,18;442,911715;442,5483833;0;0;2208,508682;139,2128853;0;99,13553158;119,4706902;0;0;1,333343333;1,310403402;4,1498;4,09456;3,2292;3,17434;0,9206;0,92022;1,1661;1,17331
33;148.1;Upper Palaeolithic/ Epipalaeolithic;Open-air;581872,4046;4760409,768;725;725;0,76;-0,22;0,49;-0,23;0,49;-0,23;0,982384824;1,061493411;4,29864;4,75273;6,756756757;11,86440678;0,65913371;2,455661664;8,21524043;356,186;343,137;900;888,817;48,85265112;48,37944455;0;21,51416667;21,90633333;0,446711565;8906,77;8914,58;443,9512912;443,9280178;0;0;2201,621829;120,674132;0;1058,935544;528,7933684;3;4;0,716666667;0,937440977;4,0566;4,01882;3,1358;3,09833;0,9209;0,920541;1,1892;1,19808
34;149.1;Upper Palaeolithic/ Epipalaeolithic;Shelter;582133,3154;4760820,852;703;703;-1,42;-3,11;-1,86;-3,34;-1,86;-3,34;0,952574526;1,023289665;1,21524;2,13284;7,715582451;8,387096774;0,246679317;4,696132597;11,38618933;45;28,099;1290,59;1286,87;68,58273137;68,53316352;0;2,748;3,302666667;0,142428704;8689,25;8684,67;431,6476978;431,056115;0;0;2215,226358;139,0925939;0;48,23530823;33,01351565;1;1;4,42755205;4,362983775;4,4194;4,26584;3,5007;3,34768;0,9187;0,918118;1,065;1,07691
35;150.1;Upper Palaeolithic/ Epipalaeolithic;Open-air;581350,5055;4760780,435;735;735;-0,62;-0,06;-0,33;-0,13;-0,33;-0,13;0,967105263;1,042553191;4,52023;4,44808;10,35781544;7,692307692;0,320512821;3,204272363;9,410266226;124,695;123,735;1231,36;1240,59;68,04378408;68,36476517;0,026047682;8,901333333;8,539666667;1,188316018;9465,53;9467,84;471,5064715;471,4133687;2,329907149;0;2265,174608;156,2321124;0;852,6311073;689,6718912;9;9;0,650006667;0,818544551;4,6076;4,60993;3,6848;3,68709;0,9228;0,922847;1,1787;1,18605
36;151.1;Upper Palaeolithic/ Epipalaeolithic;Open-air;581329,7481;4760537,277;722;721;-1,58;-1,63;-1,45;-1,83;-1,45;-1,83;0,956291391;1,02266289;3,45734;2,69689;7,335329341;9,198813056;9,198813056;0,134048257;11,20608942;155,556;175,529;1011,19;1001,72;57,22920285;56,71000208;0;1,858333333;1,565833333;0,100959156;9473,55;9470,56;471,2803333;470,8387692;0;0;2292,435594;156,2917046;0;2374,267418;2224,476266;4;4;0,89167;1,427538735;4,6102;4,57973;3,6888;3,65823;0,9214;0,92146;1,0434;1,05816
37;152.1;Upper Palaeolithic/ Epipalaeolithic;Open-air;581888,1192;4760999,328;735;735;1,27;1,14;1,73;1,21;1,73;1,21;0,974801061;1,05;3,61888;2,96756;8,231707317;9,290953545;9,290953545;0,134589502;9,031279323;161,565;192,377;1475;1478,38;77,51857648;77,78790258;0;11,686;11,38816667;3,732037164;8923,7;8914,02;445,6606458;446,1630312;3,979108646;0;2366,49452;152,5424912;0;1013,59642;1133,889196;12;12;1,41351972;1,576546034;4,7016;4,61097;3,7786;3,68769;0,923;0,92328;1,219;1,22138
38;153.1;Upper Palaeolithic/ Epipalaeolithic;Open-air;582001,9603;4761452,607;755;755;2,6;2,62;3;2,86;3;2,86;0,990813648;1,080114449;4,85009;4,424;12,83095723;8,310249307;8,310249307;0,131233596;8,827356194;225;227,14;1320,04;1319,04;82,23117062;82,23308825;22,79810933;30,62083333;31,0035;19,84795964;8777,28;8778,71;446,1979383;446,2701557;56,0253193;0;2264,226063;121,4585917;0;694,4894912;298,4328908;18;21;0,916666667;1,139236635;4,7029;4,66078;3,7773;3,73482;0,9256;0,925962;1,291;1,29341
39;154.1;Upper Palaeolithic/ Epipalaeolithic;Shelter;582308,4555;4761154,452;727;727;0,29;0,92;0,78;1,03;0,78;1,03;0,959102902;1,043041607;3,61888;3,72204;7,625;7,901234568;7,901234568;0,134770889;9,146365292;198,435;188,395;1554,23;1560,69;85,13241352;85,4153552;2,432638344;23,623;24,262;8,923069641;8489,74;8484,42;425,665858;425,300121;9,782600628;0;2338,530757;154,3267624;0;842,931913;967,1948358;11;11;0,916666667;0,983703594;4,6993;4,71599;3,7776;3,79445;0,9217;0,921509;1,1748;1,16185
40;158.1;Upper Palaeolithic/ Epipalaeolithic;Shelter;582260,0835;4760857,548;705;706;-1,47;0,61;-1,43;0,38;-1,43;0,38;0,956580733;1,02919708;8,82426;8,00813;7,375886525;11,84210526;0,348297214;4,709141274;10,51961222;194,931;205,309;1274,02;1282,06;70,99685745;71,27080477;0;8,670333333;9,564333333;1,559486332;8562,45;8555,03;425,3753163;425,0229555;1,002807897;0;2243,344104;151,7665248;0;402,1199634;301,9471682;1;1;2,01668;1,814720843;5,0926;4,95496;4,1796;4,04084;0,913;0,9141;1,1268;1,13759
41;159.1;Upper Palaeolithic/ Epipalaeolithic;Open-air;581285,2681;4760599,549;732;730;-2,13;-1,07;-1,51;-1,14;-1,51;-1,14;0,960629921;1,033898305;10,2731;10,0242;7,96460177;10,80139373;0,675087108;2,136181575;10,05309523;114,444;111,48;1068,88;1070,3;58,67310197;58,78737483;0;5,826166667;5,631333333;0,549010001;9528,02;9522,49;475,2483412;474,4991657;2,411557964;0;2351,834594;177,4128662;0;5969,680169;2215,730159;10;9;0;0,349379328;4,733;4,65912;3,8167;3,74301;0,9163;0,916096;1,0941;1,08345
42;164.1;Upper Palaeolithic/ Epipalaeolithic;Shelter;581479,0418;4761289,977;732;732;1,84;1,24;1,22;1,4;1,22;1,4;0,970822281;1,147335423;6,71204;6,318;20,49469965;13,80208333;2,760416667;0,668449198;9,56840009;347,735;346,402;1085,41;1093,51;67,905887;68,35627918;37,09996732;20,201;19,849;21,6874664;9306,58;9306,35;467,2564253;467,0806058;0;0;2228,097926;141,852085;0;34,14962566;33,87720991;29;28;1,502525384;1,341886282;3,8634;3,90377;2,9433;2,98319;0,9201;0,920573;1,3084;1,3081
43;171.1;Upper Palaeolithic/ Epipalaeolithic;Shelter;583471,8247;4761844,602;695;694;-2,69;-0,31;-1,61;-0,02;-1,61;-0,02;0,980253879;1,069230769;11,3099;11,3381;11,91919192;13,19018405;0,694220213;2,679830748;8,359575828;143,13;143,258;1535,01;1535,99;85,16795385;85,20692438;9,176116041;20,51616667;20,58583333;0,660877096;7300;7306,66;370,7867355;370,825706;0;0;2292,821481;155,1823131;0;510,3453167;494,853014;15;15;1,016666667;1,067028257;5,0585;5,06251;4,1498;4,15391;0,9086;0,908517;1,0346;1,03619
44;172.1;Upper Palaeolithic/ Epipalaeolithic;Shelter;583180,3791;4762151,17;695;696;1,04;-0,18;0,78;-0,14;0,78;-0,14;0,977496484;1,02962963;6,65173;6,6186;4,705882353;8,333333333;8,333333333;0,141643059;8,936666969;239,036;242,52;1875,67;1868,69;96,72960278;96,49536607;0;9,409166667;9,301166667;0,026850906;7604,97;7603,19;383,2060368;382,9718;0;0;2286,028849;172,0035498;0;8378,139258;6520,854262;5;5;0,98018972;1,193816425;4,6635;4,62705;3,7491;3,71257;0,9144;0,914481;1,1825;1,19305
