Type;ALTm;TPI100m;TPI500m;TPI1000m;SLOm;ASPm;HYDROEm;HYDROCm;WETm;GEOLEm;GEOLCm;VISPRm;LCPCm;TOTINSm;DIRINSm;DIFINSm;WINDm
Random sites;405;1,379250648;11,58839685;20,87419493;4,85928;214,363;556,705;29,27193902;35,8691546;13595,2;675,8785497;18;1,033965881;4,636343834;3,765645053;0,870685267;1,238637617
Random sites;386;-0,812308307;0,943315484;2,790349373;5,08184;157,639;876,931;52,82600875;13,77148589;5428,59;261,9797675;8;0,81777764;4,682237158;3,814208362;0,868106934;0,993975688
Random sites;643;0,765109303;8,320632986;21,14218489;3,96638;232,527;776,892;43,10437908;9,020997147;7638,63;382,3457137;21;0,491494783;4,553107205;3,644901318;0,908205887;1,169891369
Random sites;404;-0,064529681;-0,68975068;-18,97130382;3,65531;225,368;382,576;21,35147597;5,02633075;5725,56;290,3800322;17;1,757032797;4,541309158;3,669550718;0,87175844;1,145950465
Random sites;714;-1,889692199;-1,221249722;10,02216632;4,81284;259,087;1656,15;90,02258385;11,76123634;2815,95;151,6553552;8;0,114254121;4,470241915;3,551612176;0,918661305;1,220950358
Random sites;381;-2,711543939;-14,42739542;-23,20364305;10,8614;49,7509;65,9141;4,007972772;26,54143993;563,809;27,65660178;6;2,263623017;3,343305303;2,482493306;0,860809565;1,138908543
Random sites;599;-1,556431364;18,93785822;23,46858625;6,07495;335,702;960,307;56,07750302;20,5596864;938,474;46,79218103;27;2,910870267;3,856494559;2,957120593;0,899428305;1,020630168
Random sites;544;-0,493028301;-8,874664146;-10,99501743;3,91043;40,4902;486,092;25,80935785;5,404924083;0;0;5;0,646582521;4,087318417;3,19517105;0,892223683;1,03864236
Random sites;331;1,147515;8,176773413;-6,830366043;3,26205;195,974;203,141;15,64573446;23,39575812;2193,5;105,9598964;4;0,860075589;4,503626949;3,642342192;0,861284757;1,045096115
Random sites;561;-1,579014074;-5,355362966;-12,38625656;2,01102;227,246;1174,87;62,65731447;9,517217428;1895,06;93,49328642;5;1,683925865;4,319463277;3,423726076;0,895773864;0,853880271
Random sites;465;1,245943241;1,707150894;-1,002270679;3,31341;76,016;291,093;17,82075388;8,88370119;16127,2;785,7660808;32;4,343821153;4,259045437;3,37820471;0,880843094;0,882471848
Random sites;464;1,779834718;-7,169635239;-20,76616427;7,02309;184,535;54,8137;5,776814302;3,65294553;2169,82;99,7932448;29;0,765777294;4,861022836;3,983078217;0,877944618;0,8415319
Random sites;541;-0,397104767;3,371772287;6,099918631;2,18506;206,382;656,736;35,14173238;8,89053829;12914,1;627,2984147;30;2,598574098;4,525374275;3,632377648;0,892996627;1,1051557
Random sites;466;0,642584524;9,727156001;3,364736655;2,74681;111,421;435,952;26,0604512;14,82247598;7019,42;345,7959043;40;4,882545858;4,431475484;3,550166146;0,881317732;0,821454457
Random sites;505;-0,650548684;-0,070501834;-3,206254988;3,50545;298,467;216,643;15,23514541;5,634496682;2952,51;144,2363077;16;0,478243214;4,12087902;3,233806023;0,887062263;0,85411727
Random sites;512;3,483776716;12,19374758;-10,38835478;18,43;151,849;380,991;24,42722922;38,86690143;4409,62;214,8654042;37;14,84702552;5,40608271;4,540037837;0,866059806;0,807548412
Random sites;406;-2,512986424;-15,18748163;-23,2030443;8,21628;205,068;1563,09;80,74578993;17,23633978;11494,3;573,710834;13;1,161197119;4,943693377;4,0801392;0,863554177;0,805033719
Random sites;530;-1,829931057;-2,052498775;-8,957296851;6,78094;216,484;111,832;7,876011812;5,861673;10662,1;521,8072148;11;0,114513897;4,728949093;3,84050893;0,888534119;1,032037704
Random sites;431;-0,152577128;-3,585364151;-12,03648859;1,30752;147,796;277,757;19,30877453;0,977403133;16037,6;801,6701897;13;11,37830782;4,421227524;3,54477229;0,876455233;0,850095467
Random sites;380;-0,07367906;3,513699537;18,61354549;2,09319;263,678;1482,97;85,33585807;4,037696842;4238,67;198,2598117;15;0,933668871;4,319929599;3,451230602;0,868697994;1,158007159
Random sites;599;2,136028678;8,843452871;20,70945638;9,90634;110,788;1333,5;70,82501322;8,463895172;1447,74;69,15696852;15;1,616346585;4,481026587;3,585291168;0,895735419;1,10398402
Random sites;457;-0,618405415;-6,271347484;-11,84118877;0,475786;23,4335;14,9801;1,947273705;6,545325997;16014,8;780,4306718;10;7,682037178;4,289305641;3,408968625;0,880309043;0,860189311
